,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
18,86.1616352,76.92429082,75.01787312,69.31222305,66.33872502,50.78775604,55.14997893,46.70716789,36.86700176,48.80922988,54.9295287,58.96970918,31.05101156,23.00448331,30.08077368,8.844844845,7.028999666,0,29.80890675,30.86236443,43.42202313,11.74618805,12.02507096,16.98105079,8.37963587,8.733432936,14.98308169,25.43918024,24.86192797,25.53929271,25.88945774,30.61331914,30.8114128,30.47559636,30.67432355,31.54216691,32.39092293,33.94893813,49.31016459,87.1087407,128.8890094,77.30226465,27.88794238
19,87.87720947,74.11346228,72.64237736,68.48865865,72.2717134,57.2405506,50.58103407,45.88594541,46.99065706,37.20777488,41.29656649,43.67986967,31.07283699,41.09202198,46.33334877,28.8588474,32.53788952,29.80890675,0,1.134123449,14.60722947,41.5214034,41.77475591,40.03964312,29.87001586,29.9326191,32.99361705,50.47267095,49.30329468,49.37478019,49.94191319,58.0806887,58.23283263,52.33496818,52.49518398,52.48321085,52.78060666,53.46345215,70.38718567,115.8341489,154.781152,85.82044559,56.43567175
20,87.70609469,73.80676923,72.35700838,68.27748245,72.30546922,57.36129583,50.31074349,45.80377129,47.31944164,36.7434734,40.70625724,43.00209621,31.22295146,41.74605564,46.88215138,29.74413529,33.48327702,30.86236443,1.134123449,0,13.87425169,42.58425147,42.84088057,41.17372725,30.99815851,31.06201769,34.12380289,51.60679312,50.43722146,50.50779276,51.07520972,59.20888532,59.3613971,53.45833692,53.6181946,53.60031888,53.89313048,54.56744303,71.49058197,116.955185,155.9114851,86.67414309,57.55104231
21,97.72678261,82.76793336,81.52586269,78.12292428,83.88478565,69.5358591,59.91387876,56.88410576,60.47770943,44.98247045,47.44338332,48.5659893,43.80344365,55.60923414,60.6259172,43.35602558,46.84731521,43.42202313,14.60722947,13.87425169,0,54.90962018,55.11750233,50.90786897,41.87929667,41.85827666,43.40176195,61.22774129,59.89416365,59.72557769,60.33990479,69.61108445,69.7350066,61.70335637,61.8368117,61.473342,61.52679216,61.80245932,78.41671657,127.4794702,164.0410694,87.19574849,68.60563811
22,89.29140765,82.00814421,80.02067869,74.00363073,68.58541871,53.84122784,61.83042738,52.82097545,39.87538526,57.78142571,64.06400654,68.32710591,38.82694803,24.66224712,31.0809314,16.9332207,12.41440095,11.74618805,41.5214034,42.58425147,54.90962018,0,0.435634158,15.05718881,14.72727204,14.93706395,18.45665272,18.66190199,18.7777616,19.87110017,19.94791922,20.82541784,21.0528964,25.49341718,25.68767124,27.06243086,28.16461235,30.07636162,42.91900494,75.69942976,118.6161005,75.86675552,17.20032207
23,89.70122104,82.43772667,80.44983974,74.43099867,68.98632163,54.25619191,62.26605645,53.25634326,40.29472238,58.20284676,64.48393391,68.74403391,39.25687652,25.07917329,31.48190565,17.33906292,12.83092909,12.02507096,41.77475591,42.84088057,55.11750233,0.435634158,0,14.78966485,14.76672451,14.96809388,18.3478004,18.2468088,18.37512457,19.47447718,19.54565627,20.39568815,20.62287298,25.10055203,25.29443385,26.67747344,27.78337584,29.70004274,42.49362373,75.34847066,118.2085651,75.51637608,16.78988805
24,102.4223914,93.76086436,91.83532226,86.04837878,82.14831252,66.8959697,72.1309125,63.64753096,52.84452088,65.32967899,71.32027179,75.19372843,48.00870948,38.04370091,44.91027572,25.73414152,22.71897022,16.98105079,40.03964312,41.17372725,50.90786897,15.05718881,14.78966485,0,10.89532019,10.69956121,7.57228137,10.44263014,9.275152997,9.473818666,9.993788459,18.82742552,18.93119187,13.67510942,13.86925161,14.60167702,15.4170624,16.97398028,32.6377055,76.58418638,114.8877797,61.45446403,18.76655614
25,94.30589361,84.63202016,82.75693682,77.16064688,74.6343358,59.02819339,62.39285025,54.25316075,45.16817507,54.76453359,60.66925951,64.46579412,38.12883252,31.37111082,38.44670241,16.897392,15.36058107,8.37963587,29.87001586,30.99815851,41.87929667,14.72727204,14.76672451,10.89532019,0,0.353894141,6.709787625,20.98805055,20.0022243,20.33007357,20.81968063,28.21073328,28.36348355,24.43903529,24.62770874,25.16810934,25.84197125,27.15674713,43.38346972,86.01073345,125.5530468,69.19722052,26.76403782
26,94.65254972,84.96339669,83.08949544,77.49725701,74.98611436,59.37838331,62.70885867,54.58050109,45.52032423,55.03545017,60.9308898,64.71752511,38.44322842,31.72410769,38.79962371,17.24588823,15.71287404,8.733432936,29.9326191,31.06201769,41.85827666,14.93706395,14.96809388,10.69956121,0.353894141,0,6.36450091,20.84552112,19.84111515,20.14980277,20.64561388,28.1513118,28.30171631,24.20830243,24.3962203,24.91894622,25.5830363,26.88411371,43.14473954,85.97360097,125.4146972,68.85418611,26.76485437
27,101.0152171,91.27722887,89.41057479,83.83996853,81.30989414,65.72326567,68.90939062,60.87069707,51.83908393,60.77863431,66.55858295,70.2207725,44.64057564,37.85449245,44.91788521,23.60362935,21.84462383,14.98308169,32.99361705,34.12380289,43.40176195,18.45665272,18.3478004,7.57228137,6.709787625,6.36450091,0,17.83000034,16.52498987,16.46053124,17.05150825,26.39929282,26.50347177,19.4736113,19.6444341,19.85003515,20.33843418,21.39935858,38.08812671,84.1264216,121.7876872,62.49138011,26.13709742
